id,tweetText,image_file,label,status
29,Shark. #Sandy #JerseyIThink #Hurricane #NYC #Somet,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
30,Craziest picture ever #hurricane http://t.co/KaF8z,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
31,#hurricane #sandy #WOW #NYC http://t.co/Gs7YMXXC,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
32,So New York is getting a little rain... #Hurricane,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
33,The Tomb of the Unknown #Marines never take the #D,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
34,Lord have mercy on their souls #Hurricane #Sandy #,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
35,Look at this amazing pic taken today of #sandy #NY,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
36,Mans best friend #love #hurricane #sandy #dog http,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
37,#hurricane http://t.co/0ifMPBuq,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
38,Terrifying. #NY #hurricane #sandy #statueofliberty,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
39,#hurricane #sandy lookin like a bag of money http:,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
40,Crazy shot of #Hurricane #Sandy http://t.co/EQRFTg,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
41,wow! #hurricane #Sandy over lady liberty  http://t,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
42,UMMMM😳 #shark #hurricane #nj WOAHH http://t.co/ach,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
43,#amazing #photography #nature #hurricane #sandy #c,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
44,So...that's a shark swimming in someone's front ya,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
45,uh #hurricane #sandy #wind #blowing #cloudy #water,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
46,#hurricane #sandy #NY #NewYork http://t.co/EtktgqA,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
47,Damnnn dis joint look like those end of the world ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
48,#hurricane #sandy #NY #newyork #america #usa #sky ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
49,#NewYork #Crazy #Statue #Liberty #Hurricane #Today,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
50,😱 #shark #nyc #streets #sandy #hurricane http://t.,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
51,A picture someone took of a shark swimming by thei,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
52,I hope the East Coast is doing well in those times,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
53,It's gettin real out in this bitch.. #repost #sand,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
54,#2012 #statueofliberty #NYC #world #ends #hurrican,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
55,#NY #hurricane #cool http://t.co/XbXap7JQ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
56,The Eye of The Storm... #Hurricane #Sandy http://t,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
57,#timesquare #newyork #nyc #ghostcity #hurricane #s,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
58,#newyork #hurricane #sandy http://t.co/8wcCP9c5,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
59,Hope all my family and friends on the east coast s,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
60,#hurricane http://t.co/RKNYPVU8,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
61,#Hurricane #Sandy #NYC 🌀☔🗽 http://t.co/gNLZiF29,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
62,Still no place like it !!! RT @cruzr83: Eerie look,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
63,WTF! LaGuardia Airport! #JetBlue #Travel #Sandy #H,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
64,#newyork I'm prayin for y'all #hurricane #sand #re,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
65,#Hurricane #Sandy #NYC 🌀☔🗽 http://t.co/gNLZiF29,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
66,Scary!!!! #newyork #hurricane #sandy #newyorkcity ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
67,"Que Deus proteja o Soho, a All Saints e a XL ! #Sa",,fake,error: 'BaseModelOutputWithPooling' object has no attribu
68,#sandy #hurricane #fun #usa http://t.co/I61JSFID,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
69,#newyork #hurricane #terrore 😱 http://t.co/ESLk0NF,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
70,New York gonna be screwed #sandy #hurricane #newyo,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
71,We forget tomb unknown soldier is guard 24/7365 ! ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
72,Can't decide whether it's the  #endoftheworld or j,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
73,Um #legit #shark #flood #newjersey #hurricane #san,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
74,That is so creepy! Praying for you NY!  #hurricane,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
75,THE PERFECT STORM:SANDY. #storm #nature #power #ny,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
76,Crazy #hurricane #nofilter http://t.co/7D5R6ir1,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
77,la foto de helenanovellas #newyork #sandy #hurrica,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
78,#sandy #NYC #Hurricane http://t.co/Kg9alCmy,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
79,#hurricane #sandy #shark http://t.co/8uDQRoZv,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
80,"Yup, this definitely makes it seem like the world'",,fake,error: 'BaseModelOutputWithPooling' object has no attribu
81,#nyc #hurricane #sandy ☔ ☁ 🇺🇸 http://t.co/a9jKNIzd,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
82,Hurricane Sandy looks like hell. #Sandy #hurricane,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
83,laurenliithiium's photo http://t.co/Eh4I06zt #nyc ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
84,Such an awesome shot... Hope everyone's alright #h,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
85,So Beatiful But Yet So Tragic!!! #NewYork #Hurrica,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
86,stay safe east coast! #hurricane #sandy #NY #NewYo,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
87,#newyork #weather #hurricane #sandy #god #bless #a,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
88,That's cray 😳#nyc #hurricane #sandy #statueofliber,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
89,#sandy #ny #nypd #hurricane #hurricanesandy #storm,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
90,Hurricane Sandy has arrived in NYC. #hurricane #sa,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
91,"East Coast, we all pray everything is ok and the s",,fake,error: 'BaseModelOutputWithPooling' object has no attribu
92,#ny #new #york #usa #winter #rain #hurricane #cool,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
93,Sandy about to fuck shit up! #sandy #hurricane #hu,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
94,Thoughts going out to people of America! #hurrican,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
95,#hurricane #sandy http://t.co/PtZwWQJQ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
96,#sick #photo #sandy #hurricane #newyork #rain #win,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
97,😳🏃💨💨💨🌊sharks in jersey!! #hurricane #sandy http://,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
98,#damn #hurricane #sandy http://t.co/PBXxmFw4,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
99,In case u missed it. 😮😐😬 #reallife #NY #hurricane ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
100,Independence what? #sandy #perfect #hurricane http,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
101,SHARK in NJ Subs.\n#hurricane #life #animal #insta,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
102,#NY #hurricane #nature http://t.co/JPJyA2Sb,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
103,prayers to the East Coast #Hurricane #Sandy http:/,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
104,Even Lady Liberty was scared 😱🗽🚣 #hurricane #sandy,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
105,#hurricane #sandy #sky #ny #newyork #statue #liber,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
106,Got Sharks Swimming in the streets afte #Hurricane,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
107,#hurricane #sandy #NewYork #ny #nyc #manhattan #ho,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
108,No freakin' way!!! MT @hurrtrackerapp: Shark swimm,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
109,#soldiers #hurricane #loyalty http://t.co/2PRkRewa,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
110,During Hurricane Sandy #sandy #hurricane http://t.,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
111,Praying for New York. #newyork #sandy #hurricane #,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
112,#Sandy #Hurricane #NYC Shit is looking crazyyy ove,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
113,Nature is Sooo dope. #sandy #hurricane #staysafe #,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
114,This is madness. #Sandy #Hurricane http://t.co/hQ4,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
115,ThisIsComical. (NotReal) #NYC #TimesSquare #Hurric,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
116,#newyork #nyc #hurricane #sandy #frankenstorm #hal,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
117,#Hurricane #Sandy #NewYork. I hope not much damage,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
118,meanwhile in New Jersey.. #PRAY 4 #NewJersey &amp;,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
119,"Holy ballz, New York. #weather #nyc #newyork #stor",,fake,error: 'BaseModelOutputWithPooling' object has no attribu
120,#hurricane #sandy #newyork #usa http://t.co/64lHUq,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
121,#nodaysoff #tomboftheunknown #teamarmy #hurricane ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
122,#please let this be #fake #newyork #newyorkcity #n,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
123,That's cray 😳#nyc #hurricane #sandy #statueofliber,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
124,Awesome pic of #NYC as #Sandy approaches. #sky #sk,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
125,#Jersey #Sandy #Hurricane #Sharks out thea heavy !,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
126,Shark week in new jersey! Live right at your front,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
127,"this did not actually happen ,) #hurricanesandy #s",,fake,error: 'BaseModelOutputWithPooling' object has no attribu
128,#hurricane #sandy shit just got real http://t.co/x,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
129,Maximum respect. Guarding the Unknowns during #Hur,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
130,In case u missed it. 😮😐😬 #reallife #NY #hurricane ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
131,#Soldiers standing guard at #TombOfTheUnknowns #DC,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
132,Shore Drive McDonalds in Virginia Beach #sandy #hu,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
133,oh you know..just driving down the street and.....,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
134,Am I the only one that thinks that this pic is hot,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
135,#valor #dedication #honor #usarmy #totus #rain #we,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
136,#NewYork #Hurricane #Sandy #Crazy #beautiful http:,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
137,RT @thinkprogress #Sandy approaches #NYC  http://t,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
138,#goodluck #eastcoast #storm #hurricane #sandy *wha,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
139,Zombie apocalypse approaches RT @thinkprogress: Sa,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
140,No fucking way! that shit looks scary haha. #nyc #,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
141,Shittt #2012 #Hurricane #Sandy #Storm http://t.co/,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
142,Found this on twitter. #cool #hurricane #sandy #ny,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
143,uhm what?! #shark #scary #hurricane #highway http:,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
144,Sharks have entered #NewJersey thanks to #Hurrican,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
145,#wow -- #nyc #hurricane #sandy --- #ghosttown --- ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
146,#sikmats #hurricane http://t.co/VAmyhgvF,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
147,Praying for #newyork! 😲 #sandy #hurricane #storm #,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
148,#hurricane #sandy http://t.co/Ki73Rjmg,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
149,Just hanging with #sandy in brigantine. #nj #hurri,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
150,Акула на шоссейной магистрали \n#hurricane #sandy\,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
151,Hurricane Sandy is on her way!! #photoftheday #hur,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
152,Holy scary..#hurricane #newyork #nofilter #storm h,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
153,#newyork #nyc #hurricane #sandy #frankenstorm #hal,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
154,Statue of Liberty #HurricaneSandy #Sandy #hurrican,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
155,What a fucking amazing picture!! #Hurricane #sandy,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
156,shark in brigantine #hurricane  #sandy  #holyshit ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
157,#hurricane http://t.co/IHnwIdSg,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
158,Yes that's a #shark in #atlanticcity #flood #storm,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
159,Wild picture of New York this morning! #hurricane ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
160,Ok. Nevermind. That shit is super real. #FOH #wtf ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
161,"You can leave now Sandy, you proved your point!! #",,fake,error: 'BaseModelOutputWithPooling' object has no attribu
162,How is this even possible! #hurricane #sandy #pray,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
163,#Hurricane #Sandy #Frankenstorm #NewYork #Storm #W,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
164,oh my god that is insane #nofilter #NYC #hurricane,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
165,Woop woop.. lemme get my surfboard #Repost #Crazy ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
166,#hurricane #sandy http://t.co/jse7ELt2,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
167,RT @shpev RT @BLKTAYBAMBALAM: shark on the interst,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
168,FaceBookでshareされまくってる画像。\n#sandy #ny #nyc #hurrica,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
169,"All those in New York, stay safe. We keep you in o",,fake,error: 'BaseModelOutputWithPooling' object has no attribu
170,Crazy! #Storm #ny #weather #hurricane http://t.co/,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
171,There's a storm coming! #sandy #hurricane #newyork,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
172,- Some one is WHYLIN for respect! \n#Hurricane #Sa,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
173,Sharks have entered #NewJersey thanks to #Hurrican,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
174,Fuck you #hurricane #sandy #staysafe #newyork http,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
175,"Furacão Sandy nos EUA, impressionante! #hurricanes",,fake,error: 'BaseModelOutputWithPooling' object has no attribu
176,"Times Square like never before, almost empty. #hur",,fake,error: 'BaseModelOutputWithPooling' object has no attribu
177,Pic from #Hurricane #Sandy \nLooks like summat out,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
178,Pray for the east coast #sandy #hurricane http://t,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
179,I really hope this isn't real #hurricane #sandy #n,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
180,Nunca imaginei imaginar essa cena na vida real... ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
181,Hurricane Sandy! #freaky #pretty #hurricane #sandy,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
182,This is amazing. #hurricane #tomboftheunknownsoldi,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
183,⚡⚡⚡ #sandy #hurricane #nyc #eastcoast #statueoflib,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
184,#today #nyc #hurricane #sandy #statue #of #liberty,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
185,Shits about to get real. Take cover and stay safe.,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
186,#usa #hurricane #sandy #new #york #newyork #statue,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
187,A picture was just taken for #NY #NYC #Sandy #Hurr,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
188,#newyork #nature #hurricane http://t.co/xSG7rbZ0,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
189,Hope everyone will be okay #hurricane #sandy #usa ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
190,The deadly #hurricane #Sandy.. #Nature is so viole,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
191,Lady Liberty vs Hurricane Sandy #NYC #statue #libe,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
192,"Omg! Everyone on the east coast , stay strong! #hu",,fake,error: 'BaseModelOutputWithPooling' object has no attribu
193,Hurricane Sandy in NYC. Apocalypse now.\n#sandy #h,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
194,Hurricane Sandy in USA\n#hurricanesandy #Sandy #hu,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
195,#Sandy #hurricane #NY #newyork #pic #byever #today,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
196,#sandy #Crazy #hurricane #prayers #NYC http://t.co,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
197,Shark #NJ #NYC #EastCoast #USA #Sandy #Hurricane h,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
198,Can't believe this is what New York looks like! #n,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
199,Praying for the city that I love and dream about g,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
200,Beautiful Disaster #Hurricane #Sandy #EastCoast ht,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
201,Statue of liberty still stands firm after storm #H,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
202,"New York, hurricane Sandy. #sandy #hurricane #eeuu",,fake,error: 'BaseModelOutputWithPooling' object has no attribu
203,#hurricane #sandy #newyork #amazing 🌀☔☁😲 http://t.,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
204,😱👎🚤🏃💫#Hurricane #Sandy http://t.co/xOSEtTs3,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
205,This pic is crazy #Liberty #NYC #Hurricane #Sandy ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
206,The beach I grew up going to. #rip #hurricane #san,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
207,This #picture is #epic \n\n#nyc #hurricane #sandy ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
208,#soldiers #hurricane #loyalty http://t.co/2PRkRewa,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
209,Tomb of the Unknown Soldier during #Hurricane #San,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
210,This looks like something out of a movie. Pretty s,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
211,Sharks in Atlantic city #atlanticcity #nj #newjers,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
212,#Hurricane #Sandy #StatueLiberty #NY http://t.co/W,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
213,#hurricane #newyork #rain #storm #beautiful #scene,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
214,Insanely powerful photo of hurricane Sandy. Be saf,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
215,There's a shark roaming the waters in NJ! 😱😵😦 #san,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
216,#hurricane #sandy #PraysAndThoughts http://t.co/8d,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
217,SANDY :O #sandy #storm #omg #like4like #follow4fol,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
218,Absolutely crazy. Photo cred from @phillip_rivers ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
219,This photo is amazing!! #superstorm #hurricane #ne,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
220,Taken by @zupa2732 on the job in Times Square. Sta,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
221,#hurricane #sandy #newyork http://t.co/wRHV1wmv,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
222,#hurricane #sandy #crazy #scary http://t.co/08SIcU,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
223,Holy frankenstorm! #newyork #frankenstorm #hurrica,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
224,Unbelievable photo as #Hurricane #Sandy sneaks up ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
225,Taken this morning at the Tomb...that's commitment,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
226,Nature can be so beautiful and interesting to look,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
227,#Hurricane #sandy #nyc crazy man !!!! http://t.co/,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
228,Looking out my window to this is amazing!! #newyor,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
229,#hurricane #Sandy #nyc #usa #pray #godbless #2012 ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
230,#Sandy #Hurricane #Newyork http://t.co/n7VIlEEm,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
231,Sandy almost here! #sandy #hurricane #nyc #photo  ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
232,#TrueHeros #UnknownSolders #Tomb #Sandy #Hurricane,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
233,This is insane #hurricane #sandy #statueofliberty ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
234,Last image of NY #Live #NewYork #NY #Sandy #Hurric,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
235,"to people I know in the east coast, stay safe! #hu",,fake,error: 'BaseModelOutputWithPooling' object has no attribu
236,Amazing photo of the #unknown #soldier #grave by @,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
237,Stay strong NEW YORK! #NYC #newyork vs #hurricane ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
238,#hurricane #sandy #newyork #statueofliberty http:/,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
239,Glad I got outa NY. Hurricane Sandy is crazy!! #hu,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
240,#Hurricane #Sandy approaching the #StatueofLiberty,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
241,#NY #Hurricane #Sandy #rain #scary http://t.co/pKm,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
242,#timessquare #nyc #sandy #hurricane http://t.co/Gi,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
243,Hang in there #newyork #thoughtsandprayers go out ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
244,#Hurricane #Sandy http://t.co/V8K6wxFV,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
245,#USA #Hurricane #Sandy http://t.co/cvGwNr5a,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
246,#tomb of the #unknown #soldier #hurricane #sandy #,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
247,#Hurricane #Sandy #New #York #Brooklyn #Bridge htt,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
